表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
構成管理,変更管理,成果物のバージョンや変更を管理,Configuration Management,Git・SVN,ベースライン管理と変更管理を実施
要件定義,要求の明確化,システムに必要な機能・性能を定義,Requirements Definition,機能・非機能要件,ユーザーの要求を明確化。開発の出発点
基本設計,外部設計,システムの全体構成や外部仕様を設計,Basic Design・External Design,画面・帳票設計,ユーザーから見える部分の設計
詳細設計,内部設計,プログラムの内部構造を設計,Detailed Design・Internal Design,モジュール設計,プログラマー向けの詳細な設計
単体テスト,部品テスト,個々のモジュールを単独でテスト,Unit Test,ホワイトボックス,プログラムの最小単位をテスト
結合テスト,組合せテスト,複数のモジュールを結合してテスト,Integration Test,インターフェース確認,モジュール間の連携をテスト
システムテスト,総合テスト,システム全体の機能・性能をテスト,System Test,要件との適合確認,実際の運用環境に近い状態でテスト
受入テスト,検収テスト,ユーザーが要件を満たしているか確認,Acceptance Test・UAT,本番前の最終確認,ユーザー主体で実施する最終テスト
回帰テスト,退行テスト,修正による既存機能への影響を確認,Regression Test,デグレード防止,変更後も既存機能が正常動作することを確認
ホワイトボックステスト,構造テスト,プログラムの内部構造に基づくテスト,White Box Test,命令網羅・判定網羅,ソースコードを見ながらテスト
ブラックボックステスト,仕様テスト,外部仕様に基づくテスト,Black Box Test,同値分割・境界値分析,内部構造を意識せずテスト
境界値分析,境界値テスト,データの境界値でテストする手法,Boundary Value Analysis,上限・下限・境界,バグが発生しやすい境界値を重点テスト
同値分割,同値クラス,同じ結果になるデータをグループ化,Equivalence Partitioning,有効・無効同値,テストケースを効率化
カバレッジ,網羅率,テストがコードをどれだけ網羅したか,Coverage,C0・C1・C2,命令網羅・分岐網羅・条件網羅
V字モデル,V字型開発,開発工程とテスト工程を対応させたモデル,V-Model,左が開発・右がテスト,各開発フェーズに対応するテストを定義
スタブ,下位ダミー,下位モジュールの代替プログラム,Stub,仮の戻り値,上位モジュールのテスト用
ドライバ,上位ダミー,上位モジュールの代替プログラム,Driver,テスト実行制御,下位モジュールのテスト用
レビュー,成果物検証,成果物を第三者が検証する活動,Review,インスペクション・ウォークスルー,早期の欠陥発見で品質向上
インスペクション,公式レビュー,役割分担して行う公式なレビュー,Inspection,モデレータ主導,チェックリストに基づく厳密なレビュー
ウォークスルー,非公式レビュー,作成者主導で行うレビュー,Walkthrough,作成者が説明,カジュアルなレビュー。教育効果も期待
ペアプログラミング,2人で開発,2人1組でプログラミングする手法,Pair Programming,ドライバー・ナビゲーター,リアルタイムレビューで品質向上
リファクタリング,コード改善,外部動作を変えずに内部構造を改善,Refactoring,技術的負債解消,可読性・保守性の向上
テスト駆動開発,テスト先行,テストを先に書いてから実装する開発手法,TDD・Test-Driven Development,Red-Green-Refactor,失敗するテスト→成功する実装→リファクタリング
継続的インテグレーション,継続的統合,頻繁にコードを統合してビルド・テスト,Continuous Integration・CI,自動ビルド・テスト,早期の問題発見と品質向上
PMBOK,PM知識体系,プロジェクトマネジメントの知識体系,Project Management Body of Knowledge,10の知識エリア,PMIが策定した国際標準
ITIL,ITサービス管理,ITサービスマネジメントのベストプラクティス,IT Infrastructure Library,サービスライフサイクル,ITサービスの品質向上フレームワーク
SLA,サービス品質保証,サービスレベルに関する合意文書,Service Level Agreement,可用性・応答時間,提供者と利用者間の品質保証契約
KPI,重要業績指標,目標達成度を測る重要な指標,Key Performance Indicator,定量的評価,プロジェクトの成功を測る指標
PDCA,改善サイクル,計画・実行・評価・改善のサイクル,Plan-Do-Check-Act,継続的改善,品質向上の基本的なマネジメントサイクル
変更管理,変更の統制,仕様変更を適切に管理するプロセス,Change Management,CCB承認,変更要求の評価・承認・実装を管理
