表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
RAID1,ミラーリング,同じデータを2台に書き込み,RAID1・ミラー,完全複製,信頼性は高いが容量効率50%
RAID5,分散パリティ,データとパリティを分散配置,RAID5,最小3台必要,1台故障まで復旧可能。容量効率良好
MTBF,平均故障間隔,故障から次の故障までの平均時間,Mean Time Between Failures,信頼性指標,大きいほど信頼性が高い
MTTR,平均修理時間,故障から復旧までの平均時間,Mean Time To Repair,保守性指標,小さいほど保守性が高い
稼働率,可用性,システムが正常動作している時間の割合,Availability,MTBF/(MTBF+MTTR),高可用性システムは99.999%（ファイブナイン）
直列システム,AND接続,すべての要素が動作して初めて動作,Series System,稼働率の積,各要素の稼働率を掛け合わせる
並列システム,OR接続,いずれかの要素が動作すれば動作,Parallel System,1-(1-稼働率)の積,冗長化により信頼性向上
2進数,0と1,0と1の2つの数字で表現する記数法,Binary Number,基数2,コンピュータの基本。ビット演算
16進数,0-9とA-F,16個の記号で表現する記数法,Hexadecimal,基数16,2進数4桁を1桁で表現。メモリアドレス表記
補数,負数表現,負の数を表現する方法,Complement,1の補数・2の補数,2の補数が一般的。符号ビット不要
浮動小数点数,指数表記,仮数部と指数部で実数を表現,Floating Point,IEEE754,大きな数や小さな数を表現。丸め誤差注意
文字コード,文字の数値化,文字を数値に対応させる規則,Character Code,ASCII・Unicode,ASCIIは7ビット、Unicodeは世界中の文字
論理演算,ブール演算,真偽値に対する演算,Logical Operation,AND・OR・NOT・XOR,論理回路の基本。ビット演算にも使用
AND演算,論理積,両方が1のときのみ1,Logical AND,∧・&,マスク処理に使用
OR演算,論理和,どちらかが1なら1,Logical OR,∨・|,ビットの合成に使用
XOR演算,排他的論理和,異なるときに1,Exclusive OR,⊕・^,暗号化やチェックサムに使用
シフト演算,ビット移動,ビット列を左右に移動,Shift Operation,論理・算術シフト,2倍・1/2の高速演算
アドレッシング,番地指定,メモリアドレスの指定方式,Addressing Mode,即値・直接・間接,プログラムの柔軟性を提供
割込み,処理の中断,実行中の処理を中断して別処理を実行,Interrupt,内部・外部割込み,I/O処理やエラー処理に使用
DMA,直接メモリアクセス,CPUを介さずにメモリとI/O間でデータ転送,Direct Memory Access,高速転送,CPUの負荷軽減
入出力インタフェース,I/O接続,コンピュータと周辺機器の接続規格,I/O Interface,USB・HDMI・Thunderbolt,データ転送方式を規定
USB,汎用シリアルバス,汎用的な周辺機器接続規格,Universal Serial Bus,USB2.0・3.0・Type-C,ホットプラグ対応。電源供給も可能
バス,データ伝送路,CPU・メモリ・I/O間のデータ伝送路,Bus,アドレス・データ・制御,システムバス・拡張バスがある
メモリマップドI/O,メモリ空間配置,I/Oをメモリ空間に配置する方式,Memory-mapped I/O,統一アドレス空間,メモリと同じ命令でI/Oアクセス
ポート番号,I/Oアドレス,I/O機器を識別する番号,Port Number,I/Oマップド方式,専用命令でアクセス
BIOS,基本入出力システム,ハードウェアの基本制御プログラム,Basic Input/Output System,ファームウェア,起動時の初期化を担当
UEFI,新しいファームウェア,BIOSの後継となるファームウェア規格,Unified Extensible Firmware Interface,セキュアブート対応,GUIサポート。大容量ディスク対応
仮想化,資源の抽象化,物理的な資源を論理的に分割・統合,Virtualization,サーバ・ストレージ・ネットワーク,リソースの有効活用。クラウドの基盤技術
