表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
ゼロデイ攻撃,未知の脆弱性攻撃,修正パッチが提供される前の脆弱性を狙う攻撃,0-day Attack,パッチ未提供,発見されたばかりの脆弱性を悪用。防御が困難
バッファオーバーフロー,メモリ領域超過,プログラムが確保したメモリ領域を超えてデータを書き込む脆弱性,BOF,スタック・ヒープ,メモリ破壊により任意のコードを実行。境界チェックで対策
パスワード攻撃,認証突破,パスワードを不正に入手・推測する攻撃,Password Attack,辞書・総当たり・レインボーテーブル,ブルートフォースや辞書攻撃でパスワードを解読
二要素認証,2つの要素で認証,知識・所有・生体の中から2つの要素で認証,2FA（Two-Factor Authentication）,多要素認証の一種,パスワード＋SMSコード、パスワード＋指紋など
生体認証,身体的特徴で認証,指紋や顔などの生体情報を使った認証,バイオメトリクス認証,指紋・虹彩・顔・静脈,なりすましが困難。FAR（他人受入率）とFRR（本人拒否率）
シングルサインオン,一度の認証で複数システム,一度の認証で複数のシステムにアクセスできる仕組み,SSO,SAML・OAuth,利便性向上と管理負荷軽減。認証情報の一元管理
SAML,認証情報の標準規格,認証情報を安全に交換するためのXMLベースの標準規格,Security Assertion Markup Language,SSOの実現技術,異なるドメイン間で認証情報を連携
OAuth,認可の標準規格,サードパーティアプリケーションへの認可を行う標準規格,Open Authorization,アクセストークン方式,パスワードを渡さずにAPIアクセスを許可
暗号化,読めない形に変換,平文を第三者に読めない形式に変換すること,Encryption,機密性の確保,データの機密性を保護。共通鍵暗号と公開鍵暗号がある
復号,元の形に戻す,暗号文を元の平文に戻すこと,Decryption,暗号化の逆操作,正しい鍵を使って暗号文から平文を取り出す
電子透かし,見えない情報埋込,画像や音声にデジタル情報を埋め込む技術,Digital Watermarking,著作権保護,コンテンツの著作権情報や改ざん検知情報を埋め込む
ステガノグラフィー,情報隠蔽技術,データの中に別の情報を隠す技術,Steganography,秘密通信,画像ファイルなどに秘密情報を隠して送信
セキュアブート,安全な起動,改ざんされていないOSだけを起動する仕組み,Secure Boot,UEFI機能,デジタル署名を検証してから起動。ブートキット対策
サンドボックス,隔離実行環境,プログラムを隔離された環境で実行する仕組み,Sandbox,マルウェア解析,不審なプログラムを安全に実行・解析
ペネトレーションテスト,侵入テスト,実際に攻撃して脆弱性を発見するテスト,Penetration Test,ホワイトハッカー,倫理的ハッカーが実施。システムの弱点を発見
脆弱性診断,弱点の発見,システムやアプリケーションの脆弱性を調査,Vulnerability Assessment,スキャンツール使用,既知の脆弱性をスキャンして検出
セキュリティパッチ,脆弱性修正,セキュリティ上の問題を修正するプログラム,Security Patch,定期適用が重要,脆弱性を修正する更新プログラム。迅速な適用が重要
ISMS,情報セキュリティ管理,組織の情報セキュリティを管理する仕組み,Information Security Management System,ISO/IEC 27001,PDCAサイクルで継続的改善。認証取得可能
CSIRT,インシデント対応チーム,セキュリティインシデントに対応する専門チーム,Computer Security Incident Response Team,緊急対応組織,セキュリティ事故の予防・検知・対応を担当
SOC,セキュリティ監視センター,24時間365日セキュリティを監視する組織,Security Operation Center,リアルタイム監視,ログ分析や脅威検知を常時実施
情報セキュリティポリシー,セキュリティ基本方針,組織の情報セキュリティに関する基本方針,Security Policy,基本・対策基準・実施手順,組織のセキュリティ対策の根幹となる文書体系
リスクアセスメント,リスク評価,情報資産のリスクを特定・分析・評価するプロセス,Risk Assessment,脅威×脆弱性×資産価値,リスクの大きさを評価して対策の優先順位を決定
