表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
トランザクション,処理の単位,複数の処理をまとめた論理的な処理単位,Transaction,BEGIN・COMMIT・ROLLBACK,全部成功か全部失敗のどちらか
ACID特性,トランザクション特性,トランザクションが満たすべき4つの特性,ACID,原子性・一貫性・独立性・永続性,データベースの信頼性を保証する特性
原子性,全部か無か,トランザクションの処理が全て実行されるか全く実行されないか,Atomicity,All or Nothing,途中で失敗したら全て元に戻す
一貫性,整合性維持,トランザクション前後でデータの整合性が保たれる,Consistency,制約条件維持,データベースの制約が守られる
独立性,分離性,複数のトランザクションが互いに影響しない,Isolation,同時実行制御,他のトランザクションの途中結果は見えない
永続性,結果の保存,コミットされた結果は永続的に保存される,Durability,障害後も保持,システム障害が起きてもデータは失われない
ロック,排他制御,データへの同時アクセスを制御する仕組み,Lock,共有・排他ロック,デッドロック注意。悲観的・楽観的ロック
デッドロック,相互待機,複数のトランザクションが互いのロック解放を待つ状態,Deadlock,循環待機,タイムアウトや優先順位で解決
2相ロック,ロック取得・解放,ロック取得フェーズと解放フェーズを分ける方式,Two-Phase Locking,成長・縮小フェーズ,直列可能性を保証するロックプロトコル
ロールバック,処理取消,トランザクションの処理を取り消して元に戻す,ROLLBACK,障害時の復旧,エラー発生時にトランザクション開始前に戻す
コミット,処理確定,トランザクションの処理を確定させる,COMMIT,永続化,処理結果をデータベースに反映
チェックポイント,復旧点,障害復旧のための中間保存点,Checkpoint,ログ書き出し,定期的にメモリ内容をディスクに書き出す
データベース管理システム,DB管理ソフト,データベースを管理するソフトウェア,DBMS,Oracle・MySQL・PostgreSQL,データの定義・操作・制御・保護を提供
NoSQL,非リレーショナル,リレーショナルモデル以外のデータベース,Not Only SQL,KVS・ドキュメント・グラフ,大量データや非構造化データに対応
キーバリューストア,KVS,キーと値のペアでデータを管理,Key-Value Store,Redis・Memcached,シンプルで高速。キャッシュに適用
ドキュメント指向DB,JSON形式,JSONなどの文書形式でデータを管理,Document Database,MongoDB・CouchDB,スキーマレスで柔軟なデータ構造
ER図,実体関連図,エンティティとリレーションシップを表す図,Entity-Relationship Diagram,概念設計,データベース設計の基本。エンティティ間の関係を可視化
エンティティ,実体,データベースで管理する対象,Entity,四角形で表現,現実世界の実体や概念を表現
リレーションシップ,関連,エンティティ間の関係,Relationship,ひし形で表現,1対1・1対多・多対多の関係
カーディナリティ,対応数,リレーションシップの数的関係,Cardinality,1対1・1対多・多対多,エンティティ間の数的対応関係
データディクショナリ,データ辞書,データベースのメタデータを管理,Data Dictionary,システムカタログ,テーブル構造や制約条件を格納
バックアップ,複製保存,データの複製を保存すること,Backup,完全・差分・増分,障害に備えたデータ保護。定期実行が重要
リストア,復元,バックアップからデータを復元すること,Restore,障害復旧,バックアップデータを使ってデータベースを復元
レプリケーション,複製,データベースの内容を別サーバに複製,Replication,マスタ・スレーブ,可用性向上と負荷分散を実現
シャーディング,水平分割,データを複数のサーバに分散配置,Sharding,スケールアウト,大規模データを複数サーバで分散管理
