表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
文字列探索,パターンマッチング,文字列中から特定パターンを探す,String Search,KMP法・BM法,テキストエディタの検索機能
正規表現,パターン記述,文字列パターンを表現する記法,Regular Expression・Regex,メタ文字使用,柔軟なパターンマッチング
圧縮アルゴリズム,データ圧縮,データサイズを削減する手法,Compression Algorithm,可逆・非可逆,ハフマン符号・LZ法・JPEG
暗号アルゴリズム,データ暗号化,データを暗号化する手法,Encryption Algorithm,共通鍵・公開鍵,AES・RSA・楕円曲線
誤り訂正符号,エラー訂正,データの誤りを検出・訂正する符号,Error Correction Code,パリティ・ハミング符号,通信やストレージで使用
チェックサム,誤り検出,データの誤りを検出する値,Checksum,CRC・MD5,データの完全性確認
乱数生成,ランダム値,予測困難な数値を生成,Random Number Generation,疑似乱数・真性乱数,シミュレーション・暗号に使用
モンテカルロ法,確率的手法,乱数を使った数値計算法,Monte Carlo Method,統計的シミュレーション,円周率計算・積分計算
シミュレーテッドアニーリング,焼きなまし法,確率的に局所解を脱出する最適化,Simulated Annealing,組合せ最適化,巡回セールスマン問題
遺伝的アルゴリズム,進化的計算,生物進化を模倣した最適化手法,Genetic Algorithm・GA,交叉・突然変異,最適化問題の近似解
ニューラルネットワーク,人工神経回路,脳の神経回路を模倣した計算モデル,Neural Network,深層学習の基礎,画像認識・自然言語処理
機械学習,データから学習,データから規則性を学習する技術,Machine Learning,教師あり・なし・強化,分類・回帰・クラスタリング
決定木,分岐による分類,条件分岐で分類する木構造,Decision Tree,ID3・C4.5,可視化しやすい分類手法
k-means法,クラスタリング,k個のクラスタに分類する手法,k-means Clustering,非階層的クラスタリング,初期値依存。計算量O(nkt)
最近傍法,k-NN,k個の近傍データで分類,k-Nearest Neighbors,怠惰学習,単純だが効果的な分類手法
ページング,仮想記憶管理,固定長ページ単位でメモリ管理,Paging,ページテーブル,仮想アドレスを物理アドレスに変換
ガベージコレクション,メモリ自動管理,不要メモリを自動的に解放,Garbage Collection・GC,マーク&スイープ,Javaなどで採用。停止時間が課題
