表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
BCP,事業継続計画,災害時も事業を継続するための計画,Business Continuity Plan,緊急時対応,重要業務の特定と復旧計画
SaaS,サービスとしてのソフト,ソフトウェアをサービスとして提供,Software as a Service,クラウドサービス,Gmail・Office365など。月額課金
PaaS,サービスとしての基盤,開発環境をサービスとして提供,Platform as a Service,開発プラットフォーム,AWS・Azure・GCPの開発環境
IaaS,サービスとしてのインフラ,インフラをサービスとして提供,Infrastructure as a Service,仮想サーバ・ストレージ,EC2・Azure VMなど。従量課金
IoT,モノのインターネット,あらゆるモノをインターネットに接続,Internet of Things,センサーネットワーク,スマート家電・工場の見える化
AI,人工知能,人間の知能を模倣するコンピュータ技術,Artificial Intelligence,機械学習・深層学習,画像認識・自然言語処理・予測分析
ビッグデータ,大規模データ,従来では扱えない大規模データ,Big Data,3V（Volume・Variety・Velocity）,大量・多様・高速なデータ
ブロックチェーン,分散台帳技術,改ざん困難な分散型データベース技術,Blockchain,暗号資産の基盤,取引履歴を連鎖的に記録
フィンテック,金融技術革新,ITを活用した革新的な金融サービス,FinTech,Financial Technology,キャッシュレス決済・ロボアドバイザー
シェアリングエコノミー,共有経済,資産やサービスを共有する経済モデル,Sharing Economy,Uber・Airbnb,遊休資産の有効活用
サブスクリプション,定額課金,定期的に料金を支払うビジネスモデル,Subscription,継続課金モデル,NetflixやSpotifyなど月額制サービス
プラットフォームビジネス,場の提供,取引の場を提供するビジネスモデル,Platform Business,マッチング,Amazon・楽天・メルカリなど
API,プログラム接続,ソフトウェア間の接続仕様,Application Programming Interface,REST・SOAP,外部サービスとの連携を実現
オープンイノベーション,外部連携革新,外部の技術やアイデアを活用した革新,Open Innovation,産学連携,自前主義からの脱却
DX,デジタル変革,デジタル技術による事業変革,Digital Transformation,ビジネスモデル革新,単なるIT化を超えた変革
SDGs,持続可能な開発目標,国連が定めた17の持続可能な開発目標,Sustainable Development Goals,2030年目標,貧困・環境・教育など包括的目標
ESG,環境・社会・企業統治,投資判断の新基準,Environment・Social・Governance,持続可能性重視,企業の長期的価値を評価
著作権,創作物の権利,創作物に対する排他的権利,Copyright,複製権・公衆送信権,プログラムも著作物。保護期間70年
特許権,発明の権利,発明に対する独占的権利,Patent Right,出願から20年,技術的思想の創作を保護
商標権,ブランドの権利,商品・サービスの識別標識の権利,Trademark Right,登録から10年更新可,ロゴ・商品名を保護
営業秘密,企業秘密,秘密管理された有用な技術・営業情報,Trade Secret,不正競争防止法,顧客リスト・製造ノウハウ
個人情報保護法,個人情報の保護,個人情報の適切な取扱いを定めた法律,Personal Information Protection Act,同意・目的外利用禁止,5000件以上で事業者規制
不正アクセス禁止法,不正侵入禁止,コンピュータへの不正アクセスを禁止,Unauthorized Access Prohibition Act,ID・パスワード盗用禁止,罰則3年以下の懲役
電子署名法,電子印鑑,電子署名の法的効力を定めた法律,Electronic Signature Act,認証局の規定,電子署名を手書き署名と同等に
プロバイダ責任制限法,ISP免責,プロバイダの責任範囲を制限する法律,Provider Liability Limitation Act,削除と発信者情報開示,違法情報への対応を規定
労働者派遣法,派遣労働規制,労働者派遣事業を規制する法律,Worker Dispatch Act,偽装請負禁止,IT技術者の派遣も対象
下請法,下請保護,下請事業者を保護する法律,Subcontract Act,支払遅延・減額禁止,システム開発の下請けも対象
